!	gt	30670
!	http	21455
!	lt	21030
!	amp	7381
!	O	7053
!	htt	4202
!	IG	3618
!	ht	2661
!	pantip	2074
!	YG	2053
!	GOT7	1847
!	h	1633
!	D2B	1561
!	v	1190
!	ig	887
!	ll	846
!	o	761
!	GAT	628
!	weibo	562
!	Via	494
!	CL	366
!	OMG	353
!	HBD	351
!	Got7	324
!	MinMai	322
!	TvT	312
!	lol	304
!	BoyfriendNo	299
!	FA	295
!	No	277
!	oo	245
!	af9	244
!	ae	240
!	orz	230
!	MCM	223
!	ing	190
!	G	189
!	ATM	183
!	AKMU	176
!	LOL	168
!	onpic	167
!	PlzRT	165
!	VIP	164
!	Orz	158
!	Hi	158
!	m	156
!	fav	150
!	feat	146
!	WYF	143
!	GTH	142
!	GK	142
!	ikon	141
!	eng	141
!	ok	133
!	got7	131
!	xxuelie	127
!	Lv	126
!	IKON	116
!	olo	115
!	GGG	113
!	OK	111
!	i6	109
!	wufanqins	104
!	OPV	101
!	iStudio	100
!	B3	98
!	BAP	97
!	Lovelyz	97
!	iphone6	97
!	HI5	97
!	JYPN	96
!	xolovestephi	94
!	TY	90
!	d	88
!	Eng	88
!	LOTJ	87
!	k	86
!	yg	85
!	Fav	84
!	YH	83
!	ohmydeer0420	82
!	namja1to4	81
!	alwaysehuns	79
!	WTH	79
!	STFU	79
!	nasalxiumin	79
!	zeedparty	79
!	SINOSIJAK	78
!	SIA	77
!	exonyeondan	76
!	BL	75
!	boo	74
!	haha	74
!	WB	71
!	Vivapolo	71
!	Bodyslam	70
!	BRT	69
!	d2b	68
!	BUBBLETEAHOLIC	67
!	F4	66
!	Gk	66
!	CM	65
!	MQ	63
!	AQ	63
!	lmao	63
!	g	63
!	rotfl	62
!	wu	62
!	ijibanana	61
!	TLP	61
!	o-net	60
!	CentralWorld	59
!	NK	59
!	Hello	58
!	wu_yi_fan	58
!	ily	58
!	gat	58
!	Gee	57
!	BananaIT	57
!	O-NET	54
!	Goodbye	54
!	Pantip	54
!	Bye-bye	52
